subject,AUROC,F1
S01,0.6249515691592407,0.5862068965517241
S02,0.6741666666666667,0.4
S03,0.7441860465116279,0.4
S04,0.6998459167950694,0.7172413793103448
S05,0.5209039548022599,0.4146341463414634
S06,0.5855496453900709,0.4470588235294118
S07,0.27709750566893426,0.23529411764705882
S08,0.7031818181818181,0.6564885496183206
S09,0.6517615176151762,0.6548672566371682
S10,0.2904312668463612,0.0
S11,0.3838095238095238,0.037037037037037035
S12,0.5472040668119099,0.5378151260504201
S13,0.7867132867132868,0.4383561643835616
S14,0.8008474576271185,0.4411764705882353
S15,0.48662913441238564,0.24324324324324326
S16,0.8384615384615385,0.7710843373493976
S17,0.7652173913043478,0.3448275862068966
S18,0.7644774011299436,0.6865671641791045
f01,0.5887142055025267,0.7777777777777778
f02,0.5470354075005238,0.5056179775280899
f03,0.8322905429701546,0.7435897435897436
f04,0.45066757959602877,0.3076923076923077
f05,0.29987094395280234,0.0
f06,0.782097233710137,0.8
f07,0.5726065048098947,0.0
f08,0.3092343976777939,0.029411764705882353
f09,0.3686233403214535,0.5724907063197026
f10,0.4292207792207792,0.04838709677419355
f11,0.8246240601503759,0.7933884297520661
f12,0.7792765701520749,0.6260869565217392
f13,0.5914306640625,0.5647058823529412
f14_b,0.6758575770733826,0.6394557823129252
f15,0.7252549152160441,0.5686274509803921
f16,0.4482487553498122,0.5275590551181102
f17,0.5243705243705243,0.06779661016949153
f18,0.5326460481099656,0.4
