subject,AUROC,F1
S01,0.6530414567996901,0.5578231292517006
S02,0.5480555555555555,0.18666666666666668
S03,0.7068242470453678,0.0
S04,0.5134052388289676,0.41237113402061853
S05,0.2986817325800377,0.03225806451612903
S06,0.7943262411347518,0.7222222222222222
S07,0.20816326530612245,0.5365853658536586
S08,0.6568181818181817,0.6391752577319587
S09,0.4742547425474255,0.4489795918367347
S10,0.41071428571428575,0.0
S11,0.4604761904761905,0.5517241379310345
S12,0.8307915758896152,0.6436781609195402
S13,0.5853146853146853,0.35
S14,0.6864406779661018,0.4225352112676056
S15,0.7839549612948628,0.6601941747572816
S16,0.8195804195804195,0.6881720430107527
S17,0.6478260869565218,0.4117647058823529
S18,0.7199858757062146,0.6573426573426573
f01,0.7946846341006926,0.8223684210526315
f02,0.6619526503247433,0.08247422680412371
f03,0.5625314635023373,0.7162162162162162
f04,0.5958918178705923,0.5350877192982456
f05,0.24741887905604718,0.0
f06,0.7324694421468615,0.779783393501805
f07,0.4360971140632157,0.02962962962962963
f08,0.74283381712627,0.6554621848739496
f09,0.5911076170510133,0.19858156028368795
f10,0.821038961038961,0.0
f11,0.9097744360902256,0.7159090909090909
f12,0.68996477360598,0.5789473684210527
f13,0.43878173828125,0.37209302325581395
f14_b,0.7021276595744682,0.697986577181208
f15,0.644977747732522,0.208
f16,0.4752380120534545,0.42857142857142855
f17,0.674905674905675,0.6396396396396397
f18,0.6516206928578062,0.05309734513274336
