channel_mode,channels,num_params,AUROC_mean,AUROC_std,F1_mean,F1_std,num_subjects
full,"[0, 1, 2, 3, 4, 5]",69602,0.6623050591999967,0.14638981299766526,0.470224130237392,0.2546931393449833,36
eda_only,[0],68802,0.4737886810507208,0.24533219209125134,0.2557607783964116,0.27623441706512825,36
acc_only,"[1, 2, 3]",69122,0.5678007372447326,0.13269015084702304,0.36043457813248914,0.25344773204520143,36
eda_acc,"[0, 1, 2, 3]",69282,0.6158909042193642,0.16490862415509247,0.42875945411061617,0.26468930963283577,36
