subject,AUROC,F1
S01,0.3031770631538164,0.0
S02,0.5946527777777778,0.36
S03,0.7605794891345787,0.7128712871287128
S04,0.14144838212634825,0.0
S05,0.13898305084745763,0.0
S06,0.9215425531914894,0.819047619047619
S07,0.2580498866213152,0.0
S08,0.6115909090909091,0.0
S09,0.10388437217705511,0.0
S10,0.2574123989218329,0.0
S11,0.4995238095238095,0.6412213740458015
S12,0.4255628177196805,0.37362637362637363
S13,0.4898601398601399,0.5471698113207547
S14,0.21479791395045633,0.5068493150684932
S15,0.2730471498944405,0.1348314606741573
S16,0.8020979020979021,0.6330935251798561
S17,0.8884057971014493,0.0
S18,0.8174435028248588,0.6620689655172414
f01,0.717012914093206,0.0
f02,0.20364550597108735,0.3090909090909091
f03,0.7809780654440849,0.0
f04,0.7602875727490584,0.0
f05,0.34446441740412975,0.4228571428571429
f06,0.46438746438746437,0.12698412698412698
f07,0.652084287677508,0.0
f08,0.4377721335268505,0.1889763779527559
f09,0.24912648497554157,0.6708074534161491
f10,0.1622077922077922,0.0
f11,0.13261278195488724,0.0
f12,0.6561560271500988,0.09032258064516129
f13,0.626312255859375,0.0
f14_b,0.2887537993920972,0.0
f15,0.6577657596755112,0.5043988269794721
f16,0.7464407371822867,0.4523809523809524
f17,0.3101563101563102,0.6546546546546547
f18,0.36416829200334355,0.3961352657004831
