S01,0.5453312669507944,0.6024096385542169
S02,0.716388888888889,0.0
S03,0.9161265726267632,0.4827586206896552
S04,0.7848998459167951,0.7333333333333333
S05,0.5740112994350283,0.3902439024390244
S06,0.6662234042553191,0.5581395348837209
S07,0.33197278911564626,0.5
S08,0.6945454545454546,0.4788732394366197
S09,0.48148148148148145,0.609375
S10,0.6859838274932615,0.0
S11,0.6209523809523809,0.5842696629213483
S12,0.7091503267973857,0.7323943661971831
S13,0.7667832167832167,0.23728813559322035
S14,0.794980443285528,0.4
S15,0.695988740323715subject,AUROC,F1
7,0.6788990825688074
S16,0.9531468531468532,0.8421052631578947
S17,0.783695652173913,0.5428571428571428
S18,0.8192090395480226,0.7032967032967034
f01,0.6589930750514692,0.8024316109422492
f02,0.5755290173894825,0.352
f03,0.8964401294498382,0.8352490421455939
f04,0.604039712427251,0.640625
f05,0.7820335545722714,0.0
f06,0.5679625034463744,0.5333333333333333
f07,0.5124446480378684,0.0
f08,0.7041908563134978,0.6606334841628959
f09,0.4604297693920335,0.6119402985074627
f10,0.6148051948051948,0.11864406779661017
f11,0.8720864661654135,0.8487394957983193
f12,0.8058252427184466,0.47674418604651164
f13,0.40679931640625,0.26900584795321636
f14_b,0.6604429005644811,0.54421768707483
f15,0.4818883443186299,0.3459915611814346
f16,0.5577779718752729,0.5652173913043478
f17,0.4698544698544698,0.017543859649122806
f18,0.670567474691186,0.22950819672131148
