subject,AUROC,F1
S01,0.5416505230530801,0.37383177570093457
S02,0.53375,0.3315508021390374
S03,0.5070529927563858,0.045454545454545456
S04,0.4967642526964561,0.0
S05,0.5408662900188324,0.6065573770491803
S06,0.6963652482269503,0.4358974358974359
S07,0.17732426303854873,0.11363636363636363
S08,0.56,0.4578313253012048
S09,0.5609756097560976,0.47761194029850745
S10,0.5471698113207548,0.03508771929824561
S11,0.608095238095238,0.40625
S12,0.5526506899055919,0.5245901639344263
S13,0.5909090909090909,0.14492753623188406
S14,0.5264015645371578,0.3188405797101449
S15,0.7153413089373681,0.6666666666666666
S16,0.8171328671328671,0.47058823529411764
S17,0.38369565217391305,0.379746835443038
S18,0.5840395480225989,0.7076923076923077
f01,0.7777465843159274,0.8263888888888888
f02,0.6457154829247852,0.0
f03,0.6584681769147788,0.7716049382716049
f04,0.5370078740157481,0.5045871559633027
f05,0.17228982300884957,0.0
f06,0.6683209263854426,0.4845360824742268
f07,0.6118491372728662,0.0
f08,0.5361937590711175,0.6245059288537549
f09,0.40478686233403216,0.26666666666666666
f10,0.7162337662337662,0.13333333333333333
f11,0.5996240601503758,0.7021276595744681
f12,0.5800326488529942,0.2912621359223301
f13,0.4737548828125,0.33497536945812806
f14_b,0.6350412505427704,0.6826347305389222
f15,0.6355134921976227,0.03669724770642202
f16,0.4924447550004367,0.14666666666666667
f17,0.7248017248017248,0.6543778801843319
f18,0.630816383393703,0.018518518518518517
